codeCn,cn,codePinyin,pinyin,codeEn,en,codeFr,fr,isFavorite
ggqi,彩照,iz,cǎi zhào ,, color picture,, F.photographie en couleur,
ggqj,炉,烤箱,ロ,,oven,, F.Four,
ggqj,秘,揭露,ヒ、ひ-める,,Expose,, F.Exposer,
ggqj,億,亿,オク,,hundred milon ,, F.Une centaine de millions,
ggqj,臆 ,臆,オク,,chest,, F.poitrine,
ggqq,修补,xb,xiū bǔ ,, mend ; patch up ; repair ; revamp,, F.rapiécer ; raccommoder ; réparer,
ggqy,億,y,yì ,,hundred million ,, F.cent millions,
ggqy,憶,y,yì ,, chest,, F.poitrine ; opinion personnelle,
ggqy,臆,y,yì ,,chest,, F.poitrine,
ggr,忍,r,rěn ,, bear ; endure ; have the heart to ,," F.endurer, réprimer, cruel",
ggrq,多变,db,duō biàn ,, changeable ; changeful ; varied,, F.variable ; changeant ; incertain ; versatile,
ggrt,修枝,xz,xiū zhī ,, pruning,, F.taille ; émondage ; élagage,
ggs,少,s,shǎo ,, frew ; little ; less,, F.très peu ; manquer de ; faire défaut ; manquer; diminuer; insuffisant; moins,
ggsg,念佛,nf,niàn fó ,, chant the name of Buddha ; pray to Buddha,, F.répéter le nom d'un bouddha ; penser au bouddha ; réciter des prières,
ggsg,怎的          ,vd,zěn de           ,,"how, what, why",, F.comment  ,
ggsl,多亏,dk,duō kuī ,, thanks to ; luckily,, F.heureusement ; par bonheur ; grâce à,
ggst,悠扬   ,yy,yōu yáng    ,,rising and falling,, F.mélodieux ; harmonieux,
ggt,心声,xs,xīn shēng ,, heartfelt wishes ; aspirations ; thinking,, F.voix du cœur ; expression des sentiments ; aspirations ; pensée,
ggt,心态,xt,xīn tài ,,Mentality,, F.Mentalité,
ggtd,德,d,dé ,, virtue ; morals ; moral character ; heart ; mind ; kindness ; favor,, F.moralité ; conduite ; vertu ; bienveillance ; bonté ; bienfaisance,
ggtg,秒针,mz,miǎo zhēn ,, second hand (of a clock or watch),, F.aiguille des secondes ; trotteuse,
ggtg,修辞,xi,xiū cí ,, rhetoric,, F.soigner son style ; stylistique ; rhétorique,
ggth,憾,h,hàn ,,regret,, F.Regretter,
ggtj,徳,美德,トク,, virtue ; moral excellence,, F.vertu parfaite,
ggtj,憾,憾,カン,,regret,, F.Regretter,
ggtj,穂,穂,スイ、ほ,,Fringe,, F.Frange,
ggtl,笋干,ug,sǔn gàn ,, dried bamboo shoots,," F.pousses de bambou bouillies, écrasées et séchées",
ggto,心旷神怡,xksy,xīn kuàng shén yí ,, relaxed and happy ; carefree and joyous,, F.avoir le cœur dilaté et l'ame joyeuse;se sentir libre et heureux;être ravi,
ggtp,膨,p,péng ,,Swollen,, F.Gonflé,
ggtq,多半,db,duō bàn ,, the greater part ; most ; probably ; most likely,, F.plupart ; probablement,
ggtq,少许,sx,shǎo xǔ ,, small number ; few ; minority,, F.un peu,
ggtu,穂,u,suì ,,Fringe,, F.Frange,
ggul,德国,dg,dé guó ,, germany,, F.Allemagne,
ggul,多国,dg,duō guó ,, multinational,, F.multinational,
ggul,修面,xm,xiū miàn ,, shave,, F.raser ; se faire raser,
gguq,秘密,mm,mì mì ,, secret ; clandestine ; confidential,, F.secret ; confidentiel ; clandestin,
ggut,稳固,wg,wěn gù ,, frirm ; stable,, F.stable ; ferme ; sûr,
ggvi,移民  ,ym,yí mín   ,,migrate ; emigrate,, F.émigrer ; immigrer ; émigration ; immigration ; migration,
ggvz,怨声载道  ,ysvd,yuàn shēng zǎi dào   ,,cries of discontent rise all round,, F.mécontentement général,
ggwg,修筑,xz,xiū zhù ,, build ; construct ; put up,, F.construire ; batir,
ggwq,忽视,hs,hū shì ,, ignore ; overlook ; neglect,, F.faire peu de cas de ; laisser échapper,
ggx,夕,x,xī ,, sunset ; evening ; night,, F.tombée du jour ; coucher du soleil ; crépuscule ,
ggxg,稳妥,wt,wěn tuǒ ,, safe ; reliable,, F.en sûreté ; sûr,
ggxg,修复,xf,xiū fù ,, repair ; restore ; renovate,, F.réparer ; restaurer ; remettre en état,
ggxil,我想做个医生,wxvgy,wǒ xiǎng zuò gè yī shēng ,iwtba, I want to be a doctor.,jveum, F.Je veux être un médecin.,
ggxl,多级,dj,duō jí ,, multiple ; numerous,, F.multiple,
ggxl,修改,xg,xiū gǎi ,,  modify ; revise ; amend       ,, F.corriger,
ggxq,德文,dw,dé wén ,, german language,, F.l'allemand,
ggxq,多数     ,ds,duō shù      ,,the greater part ; most,, F.la plupart ; la majorité ; pluriel,
ggxq,多义,dy,duō yì ,, polysemy,, F.polysémie,
ggxq,少数,ss,shǎo shù ,, minority ; a small number ,," F.peu nombreux, minorité",
ggxq,悉数,xs,xī shù ,,enumerate in full detail ; all ; every single one,, F.énumérer ; compter,
ggxq,移交 ,yj,yí jiāo  ,,transmitter  ,, F.transmission des pouvoirs ; transférer ; remettre,
ggxt,多极,dj,duō jí ,, multipolar,, F.multipolaire,
ggxt,秘史,ms,mì shǐ ,, secret history (as of a feudal dynasty) ; inside story,, F.chronique scandaleuse ; histoire secrète,
ggxt,少女,sn,shǎo nǚ ,, girl,, F.jeune fille,
ggxt,少校,sx,shǎo xiào ,, major,, F.commandant ; capitaine de corvette,
ggxt,修女,xn,xiū nǚ ,, nun ; sister,, F.religieuse ; sœur ; nonne,
ggy,愈  ,y,yù   ,, recover,, F.guérir ; se remettre ; recouvrer la santé ; surpasser ; de plus en plus plus… plus ; ,
ggy,怨,y,yuàn ,, blame        ,," F.se plaindre de, grogner ; rancune ; rancœur ; ressentiment ; inimité",
ggyg,多久,dj,duō jiǔ ,, how long,, F.depuis quand ; combien de temps,
ggyg,悠久  ,yj,yōu jiǔ   ,, long ; long-standing,, F.long ; de longue durée ; qui remonte loin dans le temps,
ggyl,多疑,dy,duō yí ,, suspicious ; oversensitive ; given to suspicion,, F.soupçonneux ; méfiant,
ggyl,今天,jt,jīn tiān ,, today ; the present time or period,, F.aujourd'hui,
ggyq,多次,di,duō cì ,, many times ; time and again ; repeatedly ; on many occasions,, F.bien des fois ; à plusieurs reprises,
ggyq,秘诀,mj,mì jué ,, secret (of success),, F.méthode ; recette secrète ; truc,
ggyq,念头,nt,niàn tóu ,, thought ; idea ; intention,, F.idée ; pensée ; intention,
ggyq,稳定,wd,wěn dìng ,, stable ; steady ; stabilize,, F.Stable,
ggzg,稳健,wj,wěn jiàn ,, frirm ; steady,, F.pondéré ; posé ; sérieux ; ferme ; assuré ; solide,
ggzg,修造,xv,xiū zào ,, build as well as repair,, F.construire et réparer,
ggzl,悠远  ,yy,yōu yuǎn   ,,a long time ago ; long ago,, F.lointain ; éloigné ; reculé,
ggzt,修建,xj,xiū jiàn ,, build ; construct ; erect,, F.batir ; construire ; édifier,
ghgj,多劳多得,dldd,duō láo duō dé ,, more pay for more work,, F.payé davantage pour plus de travail,
ghl,心动,xd,xīn dòng ,," palpitation, be moved, be startled ; be shocked",, F.tressaillir ; être ému ; éprouver l'envie de faire qch,
ghlc,严词拒绝,yijj,yán cí jù jué ,, give a stern rebuff ; sternly refuse,, F.refuser énergiquement,
ghq,心房,xf,xīn fáng ,, atrium of the heart,, F.oreillette (du cœur),
ghq,总司令,vul,zǒng sī lìng ,, commander in chief,, F.commandant en chef ; général en chef,
ghrq,想方设法,xfsf,xiǎng fāng shè fǎ ,, do everything possible ; try every means ; try by hook or by crook,, F.chercher par tous les moyens ; faire tout son possible,
ght,心力,xl,xīn lì ,, mental and physical efforts,, F.efforts,
ght,总方针,vfz,zǒng fāng zhēn ,, general policy ; general principle,, F.politique générale ; principal général,
ghzj,急功近利,jgjl,jí gōng jìn lì ,, rapid march,, F.marche forcée,
giaq,悬赏,xs,xuán shǎng ,, offer a reward ; post a reward,, F.promettre une récompense pour,
giat,恩典,ed,ēn diǎn ,,grace,, F.grâce,
gib,步,b,bù ,, step ; pace ; stage ; step ; situation ; condition ; state ; walk ; go on foot ; move,, F.pas ; étape ; suivre ; avancer ;,
gibl,思绪,ux,sī xù ,, train of thought ; thinking ; feeling,, F.foule d'idées ; fil d'idée ; sentiment ; humeur,
gibq,尸首,ss,shī shǒu ,, corpse ; dead body ; remains,, F.cadavre,
gid,岁月,uy,suì yuè ,,years,, F.temps,
gidg,恩情,eq,ēn qíng ,, loving-kindness,, F.bienveillance ; profonde affection ; bonnes grâces,
gidi,尸骨,sg,shī gǔ ,, skeleton,, F.os ; restes,
gidq,思潮,uc,sī cháo ,, trend of thought ; ideological trend ; thoughts,, F.courant idéologique ; mouvement des idées ; flot d'idées ; bouillonnement des idées,
gidq,吟诵  ,yu,yín sòng   ,,chant ; recite,, F.réciter ; déclamer ; fredonner,
gie,恩,e,ēn ,, kindness ; favor ; grace,, F.bienfait ; bienfaisance ; grâce ; bonté,
giei,悬崖,xy,xuán yá ,, overhanging cliff ; steep cliff ; precipice,, F.escarpement ; précipice ; falaise,
giei,影星    ,yx,yǐng xīng     ,,frilm star,, F.star ou vedette de cinéma ,
giel,思维,uw,sī wéi ,, thought ; thinking,, F.pensée,
giet,悬挂,xg,xuán guà ,, hang fly ; suspension,, F.suspendre ; prendre,
gifq,悬空,xk,xuán kōng ,, hang in the air ; suspend in midair,," F.suspendu en l'air, dans le vide",
gig,心算,xu,xīn suàn ,, mental arithmetic ; doing sums in one's head,, F.calcul mental,
gigc,吵,c,chǎo ,," make a noise, disturb, quarrel        ",," F.faire du tapage, se disputer",
gigg,恩怨,ey,ēn yuàn ,, freeling of gratitude or resentment ; resentment ; grievance ;old scores ,, F.grâce et rancune ; grief ; bienveillance et haine,
gigg,思念,un,sī niàn ,, think of ; long for ; miss,, F.penser tout le temps,
gigg,悬念,xn,xuán niàn ,, be concerned about ; audience involvement ; reader involvement,, F.être vivement préoccupé par ; se faire du souci au sujet de qn ; suspens,
gigj,吟,吟,ギン,, chant ; recite,, F.réciter en chantant ; fredonner ; chant ; ballade ; déclamer,
gigj,影,暗影,エイ、かげ,,shadow,, F.Ombre,
gigl,思乡,ux,sī xiāng ,, thought ; thinking,, F.pensée ; idéologie ,
gigl,忐忑,tt,tǎn tè ,, perturbed ; mentally disturbed,, F.inquiet,
gigt,恩惠,eh,ēn huì ,, fravor ; kindness ; grace ; bounty,, F.bienfait ; faveur ; grâce,
gigt,思想,ux,sī xiǎng ,,thought ; thinking,, F.Penser,
gigy,吟,yin,yín ,, chant ; recite,, F.réciter en chantant ; fredonner ; chant ; ballade ; déclamer,
gih,诊断书   ,zds,zhěn duàn shū    ,,medical certificate,, F.certificat médical,
giht,恳切,kq,kěn qiē ,,earnest ; sincere,, F.avec instance ; avec sincérité ; avec cordialité,
giht,慰劳,wl,wèi láo ,," bring gifts for to, or send one's best wishes to, in recognitions of services rendered",, F.récompenser de la peine prise par des présents,
gii,尸,si,shī ,, corpse ; dead body ; remains,, F.cadavre,
giie,愚弄  ,yn,yú nòng   ,,deceive ; make a fool of ; dupe,, F.se jouer de ; ridiculiser ; duper ; abuser,
giig,影片,yp,yǐng piàn ,,  frilm ;  movie ,," F.film, bande",
gij,歩,一步,ホ、ブ、（フ）、ある-く、あゆ-む,,step,, F.Pas,
gij,恩,偏爱,オン,," have partiality for sth ; show favoritism to sb,  ; have a preference for ; be partial to ; love one more than another",, F.affection partiale ou préférentielle ; prédilection,
gij,慮,考虑,リョ,, think over ; take into account ; consider,, F.penser ; réfléchir ; peser ; considérer,
gij,思,认为,シ、おも-う,, think ; consider ,," F.croire, penser",
gij,慰,慰问,イ、なぐさ-める、なぐさ-む,, express sympathy and solicitude for ; extend one's regards to ; convey greeting to,, F.réconforter ; consoler ; témoigner de la sympathie,
gij,懸,暂时, ケン、（ケ）、か-ける、か-かる,, temporary        ,, F.provisoirement,
gij,愚,愚蠢,グ、おろ-か,, stupid ; foolish ; silly,, F.bête ; stupide ; sot,
gijg,步行,bh,bù xīng ,, go on foot ; walk,, F.marcher ; garde ; factionnaire,
gijg,影射  ,ys,yǐng shè   ,,allude to ,, F.faire une allusion ; insinuer,
gijl,影子,yv,yǐng zǐ ,, shadow ; reflection       ,, F.ombre ,
gijq,吟诗,ys,yín shī ,, recite poems ; hum verse,, F.déclamer des poèmes sur un ton chantant  ,
gijx,悉听尊便,xtvb,xī tīng zūn biàn ,,you are free to try anything you like,, F.vous êtes libre d'essayer tout ce que vous voulez,
giki,影展 ,yz,yǐng zhǎn  ,," photographic exhibition, film fair",, F.exposition de photographies cinématographiques ,
gikl,步骤,bz,bù zhòu ,, step ; move,, F.méthode ; procédé,
gil,罗,luo,luó ,, a net for catching birds ; catch birds with a net ; collect ;gather together ; display ; spread out ; sieve ; sift ; a kind of silk gauze ; twelve dozen ; a gross ,, F.étaler ; prendre au filet ; filet ; gaze ; tamis,
gilx,伊斯兰教   ,yulj,yī sī lán jiāo    ,, Islam,, F.islam ; islamique,
gim,穆斯林,mul,mù sī lín  ,, moslem ; Muslim,, F.musulman,
gimg,尸体,st,shī tǐ ,, corpse ; dead body ; remains,, F.cadavre,
gimg,影集  ,yj,yǐng jí   ,,photograph album,, F.album de photos,
gimi,哆嗦,du,duō suō ,, tremble ; shiver,, F.trembloter ; frissonner ; tressaillir,
gimi,愚昧  ,ym,yú mèi   ,," blindness, fatuity, unwisdom",, F.inepte ; borné ; ignorant,
giml,悬殊,xs,xuán shū ,, great disparity,, F.complètement différent ; d'un grand écart ; grande différence,
gimq,旷课,kk,kuàng kè ,, be absent from school without leave ; cut school ; cut classes ; skip school work,, F.manquer indûment la classe ; faire l'école buissonnière,
gimq,悬案,xa,xuán àn ,,unsettled law case ; unsettled question,," F.affaire pendante, en cours d'instruction ; cas en suspens ; problème ",
gimt,吵架,cj,chǎo jià ,, quarrel ; make a noise,," F.faire du tapage, du vacarme, du grabuge",
gimt,思索,uu,sī suǒ ,, think deeply ; ponder,, F.méditer ; chercher à connaître ; méditation,
gini,慰问,ww,wèi wèn ,, express sympathy and solicitude for ; extend one's regards to ; convey greeting to,, F.réconforter ; consoler ; témoigner de la sympathie,
gini,影响,yx,yǐng xiǎng ,,"  have an effect on, influence  ",, F.influencer,
gioi,思路,ul,sī lù ,, train of thought ; thinking,, F.fil de la pensée ; enchaînement d'idées,
gipg,影印,yy,yǐng yìn ,,photomechanical printing,, F.photocopier,
giqg,愚公    ,yg,yú gōng     ,,a foolish old man ,, F.le Vieux Sot ; Yugong,
giqt,影坛  ,yt,yǐng tán   ,,the  movie circle ; moviedom,, F.monde du cinéma,
giqt,愚蠢,yc,yú chǔn ,, stupid ; foolish ; silly,, F.bête ; stupide ; sot,
girg,恩爱,ea,ēn ài ,, conjugal love,, F.affection ; amour conjugal,
girq,罗汉,lh,luó hàn ,, arhat,, F.arhat,
gisi,恩赐,ei,ēn cì ,," bestow (favors, charity, etc.) favor ; charity",, F.faveur ; charité ; accorder une faveur,
gist,思考,uk,sī kǎo ,, think deeply ; ponder over ; reflect on,, F.méditer sur ; réfléchir profondément à ; considérer,
gist,悬梯,xt,xuán tī ,, hanging ladder,, F.échelle suspendu,
gitq,影评  ,yp,yǐng píng   ,,film review,, F.critique de cinéma,
giu,思,u,sī ,, think ; consider ; deliberate,, F.penser ; méditer ; réfléchir ; penser avec affection à ; pensée,
giu,岁,u,suì ,,(for age) ,, F.an (age),
givg,步伐,bf,bù fá ,, step ; pace,, F.marche ; pas ; allure ; pied ; rythme ; démarche,
givt,步枪,bq,bù qiāng ,, rifle,, F.fusil,
giwl,影院    ,yy,yǐng yuàn     ,,cinema ; movie theatre,, F.cinéma,
giwq,影视  ,ys,yǐng shì   ,,movie and television   ,, F.télévision et cinéma ,
gixi,啰唆,lu,luō suō ,,Winded,, F.Poussif,
gixq,思议,uy,sī yì ,, imagine,, F.concevoir ; imaginer,
gixq,岁数,us,suì shù ,, age ,, F.age,
giy,恩人,er,ēn rén ,, benefactor,, F.bienfaiteur,
giy,愚人 ,yr,yú rén  ,, a fool ; a simpleton,, F.sot,
gizq,影迷  ,ym,yǐng mí   ,,movie fan,, F.fanatique du cinéma,
gj,必,必,ヒツ、かなら-ず,, certainly ; necessarily ; surely ; must ; have to,, F.devoir ; il faut ; certainement ; certes ; sûrement ;nécessairement ; forcément ; obligatoirement ,
gj,心,心脏,シン、こころ,, the heart        ,, F.cœur,
gjaj,忠于职守,zyzs,zhōng yú zhí shǒu ,, be devoted to one's duty,, F.être fidèle à son poste,
gjff,心事重重,xszz,xīn shì zhòng zhòng ,, be laden with anxiety ; be weighed down with care,, F.être accablé de soucis ; se ronger d'inquiétudes,
gjg,心得,xd,xīn dé ,," what one has learned from work, study ; etc. ",, F.fruits que l'esprit retire de l'étude ; connaissance acquise ; ,
gjg,心悸,xj,xīn jì ,, palpitation,, F.palpitation,
gjgjc,感谢您打电话到乔氏比萨店,gxndd,gǎn xiè nín dǎ diàn huà dào qiáo shì bǐ sà diàn ,tyfcj, Thank you for calling Joe’s Pizza.,mpvaa, F.Merci pour votre appel à la pizzeria de Joe.,
gjgmf,感谢您乘坐航路航空公司的航班,gxncv,gǎn xiè nín chéng zuò háng lù háng kōng gōng sī de háng bān ,tyffw,Thank you for flying with Skyway Airlines.,mpvis, F.Merci pour votre itinéraire sur les compagnies aériennes.,
gjgy,患得患失,hdhs,huàn dé huàn shī ,,  worry about personal gains and losses ; ,, F.attaché à ses propres intérêts personnels,
gji,想得开,xdk,xiǎng dé kāi ,, try to look on the bright side of things ; not take to heart ; take philosophically,, F.se faire une raison ; prendre les choses du bon côté ; philosophiquement,
gji,诊疗所     ,zlu,zhěn liáo suǒ      ,,clinic                        ,, F.dispensaire ; clinique,
gjj,护身符,hsf,hù shēn fú ,, amulet ; protective talisman ; a person or thing that protects on from punishment or censure ; shield,," F.art de se défendre ; amulette ; talisman ; fétiche ; porte-bonheur, etc.",
gjj,想得到,xdd,xiǎng dé dào ,, think ; imagine ; expect,, F.s'attendre à ; penser ; imaginer,
gjmaj,够了你真讨厌,glnzt,gòu le nǐ zhēn tǎo yàn ,eyrh,Enough you really hate,jeaad, F.J'en ai assez de toi.,
gjmix,感谢你所做的一切,gxnuv,gǎn xiè nǐ suǒ zuò de yī qiē ,tyfey, Thank you for everything you’ve done.,jvrpt, F.Je vous remercie pour tout ce que vous avez fait.,
gjmsn,感谢你的帮助,gxndb,gǎn xiè nǐ de bāng zhù ,tfyh, Thanks for your help.,mpva, F.Merci pour votre aide.,
gjmsz,感谢你的邀请,gxndy,gǎn xiè nǐ de yāo qǐng ,tfti,Thanks for the invitation.,mpvi, F.Merci pour votre invitation.,
gjmxn,够了不要再说了,glbyv,gòu le bú yào zài shuō le ,dnse,Do not Say Enough,npda, F.Ne pas dire assez,
gjt,心静,xj,xīn jìng ,, calm,, F.calme ; paisible ; tranquille,
gjt,心事,xs,xīn shì ,, sth. weighing on one's mind ; a load on one's mind ; worry,, F.ce qu'on a à cœur ; désir intime; souci; préoccupation; ennui; inquiétude,
gjub,妙手回春,mshc,miào shǒu huí chūn ,,effect a miraculous cure and bring the dying back to life,, F.excellent médecin qui accomplit des miracles,
gjwr,恩将仇报,ejcb,ēn jiāng chóu bào ,, requite kindness with enmity,, F.rendre le mal pour le bien ; ingrat,
gjyf,想得美喔,xdmw,xiǎng dé měi wō ,,Oh ya,, F.Ah Ya,
gkge,形象思维,xxuw,xíng xiàng sī wéi ,, thinking in terms of images,, F.imagination ; par images ; pensée,
gkh,想象力,xxl,xiǎng xiàng lì ,, imaginative power ; imaginative faculty ; imagination,, F.imagination,
gki,心眼,xy,xīn yǎn ,, heart ; mind ; intention ; intelligence ; cleverness ; unfounded doubts ; unnecessary misgivings,, F.fond du cœur ; intention,
gkjm,心狠手辣,xhns,xīn hěn shǒu là ,, cruel and evil ; wicked and merciless,, F.méchant et cruel,
gkk,矿泉水,kqs,kuàng quán shuǐ ,, mineral water,, F.eau minérale,
gkl,心灵,xl,xīn líng ,, clever ; intelligent ; quick-witted ; heart ; soul ; spirit,, F.esprit ; ame ; cœur ; intelligent ; délié ; éveillé ; vif d'esprit,
gkmx,心灵深处,xlsc,xīn líng shēn chù ,, deep in one's heart,, F.au fond du cœur,
gkt,心狠,xh,xīn hěn ,, cruel ; merciless,, F.méchant ; impitoyable ; cruel ; dur,
gkw,心眼儿,xyr,xīn yǎn ér ,,Acting,, F.agissant,
glag,参赞,iv,cān zàn ,, counselor ; councilor,, F.conseiller d'ambassade,
glag,恐惧,kj,kǒng jù ,, frear ; dread ; be afraid of,, F.appréhender ; redouter ; craindre ; avoir peur,
glag,乡镇,xz,xiāng zhèn ,, villages and towns ; small towns,, F.bourgs et communes ; bourg ,
glaq,参赛,iu,cān sài ,, participate in competition and contest,, F.participer à une compétition,
glat,珍贵,zg,zhēn guì ,,  valuable         ,, F.précieux ; de grande valeur,
glb,悲,b,bēi ,, sad ; sorrowful ; melancholy ; compassion,, F.douloureux ; navré ; désolé ; triste ; chagrin,
glbg,珍惜   ,zx,zhēn xī    ,,treasure ; value ; cherish,, F.estimer ; priser ; chérir ; ménager ; prendre soin de ,
glbq,恐怕,kp,kǒng pà ,,  probably       ,, F.peut-être ; craindre ; avoir peur,
glbq,乡音,xy,xiāng yīn ,, accent of one's native place ; local accent,, F.accent du pays natal ; accent du terroir,
glcg,恶化,eh,è huà ,, worsen ; deteriorate ; take a turn for the worse,, F.aller de mal en pis ; empirer ,
gldg,隐情 ,yq,yǐn qíng  ,,facts one wishes to hide,, F.confidence ; secrets ; sentiment secret,
gldi,严明,ym,yán míng ,, strict and impartial,, F.strict ; formel ; péremptoire ; impartial,
gldl,恶霸,eb,è bà ,, local tyrant,, F.tyran local ; despote local,
gldq,隐痛  ,yt,yǐn tòng   ,,secret anguish,, F.chagrin secret ; peine intime,
gle,恶,e,è ,,evil ; vice ; wickedness ; fierce ; ferocious ; bad ; wicked,, F.mauvais ; méchant ; laid ;  affreux,
gle,惡,e,è ,,evil ; vice ; wickedness ; fierce ; ferocious ; bad ; wicked,, F.mauvais ; méchant ; laid ;  affreux,
gleq,严谨,yj,yán jǐn ,, strict ; rigorous ; compact ; well-knit,, F.rigoureux ; strict ; compact ; bien construit,
gleq,愿望,yw,yuàn wàng ,, wish ;  hope       ,, F.vœu ; désir ; souhait ; aspiration ; volonté,
gleq,珍宝  ,zb,zhēn bǎo   ,,jewellry ; treasure,, F.trésor ; bijoux ; joyaux,
glex,修正主义,xzzy,xiū zhèng zhǔ yì ,, revisionism,, F.révisionnisme,
glf,乡土,xt,xiāng tǔ ,, native soil ; home village ; of one's native land ; local,, F.terroir ; local ; régional ; du pays,
glf,隐士 ,ys,yǐn shì  ,,recluse ; hermit,, F.reclus ; ermite,
glfg,严重,yz,yán zhòng ,, serious ;  grave       ,, F.grave ; sérieux ; critique,
glfg,珍重     ,zz,zhēn zhòng      ,, highly value ,, F.portez-vous bien ; soignez-vous bien ,
glfi,乡里,xl,xiāng lǐ ,, home village or town ; fellow villager or townsman,, F.campagne ; village natal ; ville natale,
glft,严控,yk,yán kòng ,, strictly control,, F.contrôler strictement ,
glg,恶心,ex,è xīn ,, freel like vomiting ; feel nauseatied ; feel sick ; nauseating ;disgusting ,, F.mauvais dessin ; mauvais intention ; avoir envie de vomir ;répugnant ; écœurant ,
glg,忍心,rx,rěn xīn ,, have the heart to ; be hardhearted enough to,, F.cœur dur ; dureté de cœur ; impitoyable ; dur ; cruel,
glgg,严惩,yc,yán chéng ,, punish severely,, F.punir avec sévérité,
glgj,砂,沙土,サ、シャ、すな,, sandy soil,, F.terre sablonneuse,
glgj,形,形,ケイ、ギョウ、かた、かたち,,shape,, F.forme,
glgj,隠,隐蔽   ,イン、かく-す、かく-れる,,conceal,, F.se cacher ; se dissimuler ; se mettre à couvert ; s'abriter,
glgj,珍,罕见,チン、めずら-しい,, seldom seen ; rare,, F.rarement vu ; rare,
glgj,総,总,ソウ,,total,, F.total,
glgl,隐忍 ,yr,yǐn rěn  ,,bear patiently,, F.souffrir en silence  ,
glgq,悲惨,bi,bēi cǎn ,,tragic,, F.Tragique,
glgq,恶意,ey,è yì ,,evil intentions ; ill intentions ; ill will ; malice,, F.mauvais dessein ; mauvaise intention,
glgq,愿意,yy,yuàn yì ,,  be willing (to do sth. ) hope ; wish       ,, F.vouloir ; être prêt à,
glgt,恶梦,em,è mèng ,, nightmare,, F.cauchemar,
glgt,形态,xt,xíng tài ,, frorm ; shape ; pattern,, F.forme ; modalité ; morphologie ; formation,
glgt,形体,xt,xíng tǐ ,, shape of a person's body ; form and structure ; physique ; body,, F.corps humain ; forme ; structure,
glgt,隐患   ,yh,yǐn huàn    ,,hidden trouble,," F.danger latent, qui couve",
glgu,砂,sa,shā ,,sand,, F.sable,
glgx,形,x,xíng ,, frorm ; shape ; body ; entity ; appear ; look ; compare ; contrast,, F.forme ; configuration ; corps ; apparence sensible ; silhouette ; comparer ; contraster,
glhg,恶劣,el,è liè ,," very bad, unfavourable,        ",, F.méchant ; vicieux,
glhl,严防,yf,yán fáng ,, be strictly on guard against ; take strict precautions against,, F.prendre des précautions strictes contre ; se prémunir contre,
glhl,严厉,yl,yán lì ,, stern ; severe,, F.strict ; exigeant ; austère ; sévère ; dur ; rigoureux,
glhq,厂房,cf,chǎng fáng ,, fractory building ; workshop,," F.locaux d'une usine, d'un atelier",
glhq,忌讳,jh,jì huì ,, taboo ; avoid as harmful ; abstain from,, F.s'abstenir de certaines choses ; tabou,
glhq,严词,yi,yán cí ,, in strong terms ; in stern words,," F.avec des mots très durs, en termes énergiques",
glht,形势,xs,xíng shì ,, terrain ; topographical features ; situation ; circumstances,, F.configuration ; circonstances ; topographie ; situation,
glht,严办,yb,yán bàn ,, deal with severely ; punish with severity,, F.traiter avec sévérité,
gli,参,i,cān ,,join ; enter ; take part in ; refer ; consult ; call to pay one's respects to ,, F.participer à ; consulter ; se référer à ; rendre visite (à un supérieur) dénoncer,
gli,參,i,cān ,,join ; enter ; take part in ; refer ; consult ; call to pay one's respects to ,, F.participer à ; consulter ; se référer à ; rendre visite (à un supérieur) dénoncer,
gli,心虚,xx,xīn xū ,, afraid of being found out ; with a guilty conscience ; lacking in self-confidence ; diffident,, F.qui a peur d'être découvert ; avoir mauvaise conscience,
glit,严肃,yu,yán sù ,, serious ; solemn ; earnest ; serious ; earnest ; grave,," F.sérieux, grave",
glj,悲,伤心,ヒ、かな-しい、かな-しむ,, grieved ; brokenhearted,, F.s'affliger,
glj,参,参与,サン、まい-る,, participate in ; have a hand in,, F.intervenir dans ; s'intégrer dans ; s'incorporer dans ; prendre part à,
glj,恥,耻辱, チ、は-じる、はじ、は-じらう、は-ずかしい,,shame,, F.Honte,
glj,怠,被忽视, タイ、おこた-る、なま-ける,,being ignored,, F.Négligé,
glj,悪,邪恶,アク、オ、わる-い,,evil ; wicked ; vicious,, F.dépravé ; vicieux ; méchant ; mauvais,
glj,戸,戶,コ、と,, door,," F.porte, foyer, compte en banque",
glj,忌,追悼,キ、い-む、い-まわしい,, mourn over a person's death,, F.honorer la mémoire de qn,
glj,恐,恐惧,キョウ、おそ-れる、おそ-ろしい,,fear,, F.Crainte,
glj,琴,日本竖琴,キン、こと,,Japanese harp,, F.Harpe japonaise,
glj,態,态,タイ,,state,, F.État,
glji,悲剧,bj,bēi jù ,, tragedy,, F.tragédie,
glji,隐喻,yy,yǐn yù ,,metaphor,, F.Métaphore,
gljl,忍耐,rn,rěn nài ,,exercise patience ,," F.supporter, patienter",
gljl,严刑,yx,yán xíng ,, cruel torture,, F.torture cruelle ; atroces supplices,
gljq,严守,ys,yán shǒu ,, strictly observe ; maintain strictly,, F.observer strictement : maintenir strictement,
gljt,恶毒,ed,è dú ,, vicious ; malicious ; venomous,, F.pernicieux ; vicieux ; méchant,
gljt,乡村,xi,xiāng cūn ,, village ; countryside ; rural area,, F.campagne,
